algorithm	fanout	cascading	input_size	run	time
rank_unbounded	8	32	100000	0	0.086296
rank_unbounded	8	32	100000	1	0.0814966
rank_unbounded	8	32	100000	2	0.0814798
rank_unbounded	8	32	100000	3	0.0816437
rank_unbounded	8	32	100000	4	0.0815062
rank_unbounded	8	32	1000000	0	1.30245
rank_unbounded	8	32	1000000	1	1.3077
rank_unbounded	8	32	1000000	2	1.30793
rank_unbounded	8	32	1000000	3	1.30774
rank_unbounded	8	64	10000	0	0.00602767
rank_unbounded	8	64	10000	1	0.00606192
rank_unbounded	8	64	10000	2	0.00597494
rank_unbounded	8	64	10000	3	0.00604909
rank_unbounded	8	64	10000	4	0.00603591
rank_unbounded	8	64	100000	0	0.088388
rank_unbounded	8	64	100000	1	0.0844544
rank_unbounded	8	64	100000	2	0.0845073
rank_unbounded	8	64	100000	3	0.0843496
rank_unbounded	8	64	100000	4	0.0853166
rank_unbounded	8	64	1000000	0	1.332
rank_unbounded	8	64	1000000	1	1.3394
rank_unbounded	8	64	1000000	2	1.33569
rank_unbounded	8	64	1000000	3	1.3358
rank_unbounded	8	128	10000	0	0.00647273
rank_unbounded	8	128	10000	1	0.00640686
rank_unbounded	8	128	10000	2	0.00648486
rank_unbounded	8	128	10000	3	0.00641742
rank_unbounded	8	128	10000	4	0.00642473
rank_unbounded	8	128	100000	0	0.0946535
rank_unbounded	8	128	100000	1	0.0904516
rank_unbounded	8	128	100000	2	0.0903913
rank_unbounded	8	128	100000	3	0.0903035
rank_unbounded	8	128	100000	4	0.0902532
rank_unbounded	8	128	1000000	0	1.41493
rank_unbounded	8	128	1000000	1	1.4191
rank_unbounded	8	128	1000000	2	1.41888
rank_unbounded	8	128	1000000	3	1.42044
rank_unbounded	8	256	10000	0	0.00693175
rank_unbounded	8	256	10000	1	0.00697194
rank_unbounded	8	256	10000	2	0.00697707
rank_unbounded	8	256	10000	3	0.00698265
rank_unbounded	8	256	10000	4	0.0069629
rank_unbounded	8	256	100000	0	0.102956
